Año;LOCALIDAD;EDAD;Adolescentes encuestados;Adolesc_alteraciónensalud;Adolesc_somnolenciadiurna;Adolesc_usodeAudifonos
2021;Suba;17;46;16;5;37
2021;Teusaquillo;11;15;3;0;12
2021;Teusaquillo;12;14;2;1;11
2021;Teusaquillo;13;13;2;1;11
2021;Teusaquillo;14;13;3;1;11
2021;Teusaquillo;15;22;6;0;19
2021;Teusaquillo;16;7;1;0;6
2021;Teusaquillo;17;15;2;1;11
2021;Tunjuelito;11;25;1;0;16
2021;Tunjuelito;12;18;1;1;14
2021;Tunjuelito;13;25;3;0;20
2021;Tunjuelito;14;22;4;1;20
2021;Tunjuelito;15;23;6;1;19
2021;Tunjuelito;16;23;4;0;18
2021;Tunjuelito;17;17;2;0;14
2021;Usaquén;11;19;4;0;11
2021;Usaquén;12;11;5;0;8
2021;Usaquén;13;16;3;0;13
2021;Usaquén;14;17;3;1;14
2021;Usaquén;15;12;3;1;7
2021;Usaquén;16;14;2;2;13
2021;Usaquén;17;10;5;1;7
2021;Usme;11;20;4;0;10
2021;Usme;12;24;10;0;17
2021;Usme;13;26;5;0;17
2021;Usme;14;24;3;0;17
2021;Usme;15;28;8;0;23
2021;Usme;16;16;6;1;10
2021;Usme;17;6;0;0;5
2022;Antonio Nariño;11;13;1;0;10
2022;Antonio Nariño;12;16;0;0;7
2022;Antonio Nariño;13;17;2;0;14
2022;Antonio Nariño;14;16;0;0;13
2022;Antonio Nariño;15;8;0;0;7
2022;Antonio Nariño;16;6;1;0;6
2022;Antonio Nariño;17;1;0;0;1
2022;Barrios Unidos;11;2;1;0;1
2022;Barrios Unidos;12;2;1;0;1
2022;Barrios Unidos;13;3;0;0;3
2022;Barrios Unidos;14;4;1;0;4
2022;Barrios Unidos;15;8;5;2;8
2022;Barrios Unidos;16;3;2;0;3
2022;Barrios Unidos;17;4;1;0;4
2022;Bosa;11;48;2;0;29
2022;Bosa;12;56;2;0;38
2022;Bosa;13;39;3;0;25
2022;Bosa;14;30;4;0;23
2022;Bosa;15;29;2;0;21
2022;Bosa;16;26;2;0;20
2022;Bosa;17;20;1;0;15
2022;Candelaria;11;4;0;0;3
2022;Candelaria;12;8;0;0;4
2022;Candelaria;13;5;0;0;5
2022;Candelaria;14;7;1;0;3
2022;Candelaria;15;9;1;0;8
2022;Candelaria;16;5;0;0;5
2022;Candelaria;17;5;1;0;3
2022;Chapinero;11;2;0;0;1
2022;Chapinero;12;8;1;0;5
2022;Chapinero;13;4;0;1;4
2022;Chapinero;14;7;1;1;6
2022;Chapinero;15;5;0;1;4
2022;Chapinero;16;3;1;1;3
2022;Chapinero;17;2;1;0;1
2022;Ciudad Bolívar;11;44;3;1;23
2022;Ciudad Bolívar;12;35;3;0;18
2022;Ciudad Bolívar;13;41;4;1;27
2022;Ciudad Bolívar;14;39;4;2;24
2022;Ciudad Bolívar;15;34;4;1;23
2022;Ciudad Bolívar;16;21;2;0;16
2022;Ciudad Bolívar;17;17;3;1;14
2022;Engativá;11;21;5;2;13
2022;Engativá;12;26;7;0;18
2022;Engativá;13;25;3;1;20
2022;Engativá;14;23;5;2;19
2022;Engativá;15;23;8;0;22
2022;Engativá;16;29;5;2;26
2022;Engativá;17;27;11;2;25
2022;Fontibón;11;20;1;0;13
2022;Fontibón;12;16;1;0;11
2022;Fontibón;13;15;1;0;14
2022;Fontibón;14;24;2;0;20
2022;Fontibón;15;19;2;0;16
2022;Fontibón;16;11;4;0;8
2022;Fontibón;17;15;4;0;14
2022;Kennedy;11;40;0;0;26
2022;Kennedy;12;50;3;1;34
2022;Kennedy;13;47;8;0;38
2022;Kennedy;14;56;5;0;44
2022;Kennedy;15;39;2;0;34
2022;Kennedy;16;29;2;0;22
2022;Kennedy;17;38;4;0;33
2022;Mártires;11;8;1;0;4
2022;Mártires;12;15;3;0;11
2022;Mártires;13;11;0;0;8
2022;Mártires;14;16;2;0;13
2022;Mártires;15;10;2;0;8
2022;Mártires;16;10;1;0;7
2022;Mártires;17;12;1;0;11
2022;Puente Aranda;11;13;2;0;11
2022;Puente Aranda;12;12;1;0;8
2022;Puente Aranda;13;15;1;0;7
2022;Puente Aranda;14;22;0;0;15
2022;Puente Aranda;15;16;2;0;16
2022;Puente Aranda;16;9;1;0;8
2022;Puente Aranda;17;5;2;0;5
2022;Rafael Uribe;11;26;0;0;15
2022;Rafael Uribe;12;23;0;0;11
2022;Rafael Uribe;13;10;1;0;7
2022;Rafael Uribe;14;23;0;0;18
2022;Rafael Uribe;15;23;2;0;19
2022;Rafael Uribe;16;7;1;0;4
2022;Rafael Uribe;17;15;5;0;14
2022;San Cristóbal;11;22;1;0;13
2022;San Cristóbal;12;29;4;0;22
2022;San Cristóbal;13;20;0;0;13
2022;San Cristóbal;14;16;1;0;12
2022;San Cristóbal;15;23;1;0;17
2022;San Cristóbal;16;13;2;0;10
2022;San Cristóbal;17;12;0;1;12
2022;Santa Fe;11;9;0;0;7
2022;Santa Fe;12;12;1;0;8
2022;Santa Fe;13;12;0;0;8
2022;Santa Fe;14;12;1;0;10
